Observation_ID,208Pb/204Pb,207Pb/204Pb,206Pb/204Pb
0,37.75,15.03,18.46
1,38.9,15.64,17.63
2,38.46,15.31,17.74
3,38.2,15.51,18.85
4,37.31,15.91,18.41
5,37.31,15.25,17.51
6,37.12,15.41,17.65
7,38.73,15.76,18.5
8,38.2,15.23,17.51
9,38.42,15.08,17.74
10,37.04,15.29,18.32
11,38.94,15.16,18.54
12,38.66,15.93,18.48
13,37.42,15.81,17.84
14,37.36,15.63,18.57
15,37.37,15.87,17.86
16,37.61,15.8,17.99
17,38.05,15.19,18.62
18,37.86,15.89,18.47
19,37.58,15.54,18.77
20,38.22,15.81,18.49
21,37.28,15.9,18.35
22,37.58,15.32,17.64
23,37.73,15.11,18.05
24,37.91,15.23,17.9
25,38.57,15.43,17.87
26,37.4,15.82,18.96
27,38.03,15.86,18.09
28,38.18,15.01,18.84
29,37.09,15.51,18.45
30,38.22,15.42,18.69
31,37.34,15.22,18.25
32,37.13,15.12,18.37
33,38.9,15.34,18.24
34,38.93,15.94,17.79
35,38.62,15.32,18.58
36,37.61,15.52,17.92
37,37.2,15.7,17.54
38,38.37,15.36,18.47
39,37.88,15.97,17.77
40,37.24,15.96,18.91
41,37.99,15.25,18.93
42,37.07,15.5,18.87
43,38.82,15.3,18.06
44,37.52,15.28,17.52
45,38.33,15.04,18.89
46,37.62,15.61,18.14
47,38.04,15.5,18.95
48,38.09,15.05,18.95
49,37.37,15.28,18.78
50,38.94,15.91,17.94
51,38.55,15.24,18.08
52,38.88,15.14,18.78
53,38.79,15.49,17.98
54,38.2,15.99,17.75
55,38.84,15.24,18.34
56,37.18,15.67,18.9
57,37.39,15.76,18.54
58,37.09,15.24,18.36
59,37.65,15.73,17.65
60,37.78,15.37,18.42
61,37.54,15.63,18.99
62,38.66,15.63,17.71
63,37.71,15.54,18.28
64,37.56,15.09,18.82
65,38.09,15.84,18.61
66,37.28,15.32,18.55
67,38.6,15.19,18.55
68,37.15,15.04,18.04
69,38.97,15.59,17.94
70,38.54,15.68,18.71
71,37.4,15.02,18.72
72,37.01,15.51,18.8
73,38.63,15.23,18.87
74,38.41,15.65,18.27
75,38.46,15.17,18.25
76,38.54,15.69,18.7
77,37.15,15.39,18.47
78,37.72,15.94,18.55
79,37.23,15.14,18.69
80,38.73,15.34,18.84
81,38.25,15.11,18.01
82,37.66,15.92,18.06
83,37.13,15.88,17.64
84,37.62,15.26,18.37
85,37.65,15.66,17.55
86,38.46,15.82,18.2
87,38.28,15.56,18.31
88,38.77,15.53,17.93
89,37.94,15.24,18.39
90,37.24,15.09,17.55
91,38.43,15.9,17.56
92,38.52,15.9,18.73
93,38.12,15.63,18.04
94,38.54,15.34,17.69
95,37.99,15.35,18.28
96,38.05,15.73,18.65
97,37.86,15.9,17.82
98,37.05,15.89,18.43
99,37.22,15.78,17.63
